id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
8151,2020-03-31 00:00:31,巴巴多斯,33,0,0,0,0,,,,,,
95mali,2020-03-31 00:00:31,马里,25,0,0,2,0,,,,,,
958888,2020-03-31 09:48:44,阿根廷,966,0,72,24,0,146.0,0.0,0.0,3.0,0.0,
81113,2020-03-27 09:17:01,法属波利尼西亚,25,0,0,0,0,,0.0,,,0.0,
9584332,2020-03-31 19:30:46,巴林,567,0,295,4,0,52.0,0.0,16.0,0.0,0.0,
8168,2020-03-31 07:37:57,莫桑比克,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
95747,2020-03-31 16:34:50,喀麦隆,193,0,3,2,0,51.0,0.0,0.0,0.0,0.0,
8165,2020-03-30 09:32:13,乌干达,33,0,0,0,0,,0.0,,,0.0,
8166,2020-03-31 17:36:24,厄立特里亚,15,0,0,0,0,3.0,0.0,0.0,0.0,0.0,
95983,2020-03-28 01:29:37,刚果（布）,19,0,0,0,0,,0.0,,,0.0,
8162,2020-03-31 07:37:20,津巴布韦,8,0,0,1,0,1.0,0.0,0.0,0.0,0.0,
956475,2020-03-31 17:46:41,丹麦,2994,0,77,77,0,239.0,,4.0,0.0,,
81344,2020-03-27 09:24:27,阿鲁巴,19,0,0,0,0,,0.0,,,0.0,
95776,2020-03-27 00:00:31,斐济,5,0,0,0,0,,0.0,,,0.0,
8172,2020-03-27 00:00:31,伯利兹,2,0,0,0,0,,0.0,,,0.0,
8173,2020-03-31 11:47:27,缅甸,14,0,0,1,0,0.0,0.0,0.0,1.0,0.0,
9568067,2020-03-31 07:32:06,塞浦路斯,230,0,4,6,0,16.0,0.0,0.0,0.0,0.0,
81134,2020-03-27 08:38:06,关岛,37,0,0,1,0,,0.0,,,0.0,
888779,2020-03-30 07:59:41,科索沃,94,0,1,1,0,,0.0,,,0.0,
95251456,2020-03-31 18:43:57,吉尔吉斯斯坦,107,0,0,0,0,13.0,0.0,0.0,0.0,0.0,
8197,2020-03-31 07:56:01,博茨瓦纳,3,0,0,0,0,3.0,0.0,0.0,0.0,0.0,
95309,2020-03-31 00:00:31,尼日尔,22,0,0,3,0,,,,,,
95305,2020-03-27 00:00:31,苏里南,8,0,0,0,0,,0.0,,,0.0,
95306,2020-03-31 00:00:31,佛得角,6,0,0,1,0,,,,,,
95786,2020-03-28 00:00:31,萨尔瓦多,13,0,0,0,0,,0.0,,,0.0,
95303,2020-03-20 06:07:07,圭亚那,5,0,0,1,0,,0.0,,,0.0,
95787,2020-03-29 12:40:40,尼加拉瓜,4,0,0,1,0,,0.0,,,0.0,
95783,2020-03-30 09:33:45,冈比亚,4,0,0,1,0,,0.0,,,0.0,
9523416782,2020-03-22 00:00:31,东帝汶,1,0,0,0,0,,0.0,,,0.0,
950777,2020-03-31 13:14:26,巴基斯坦,1836,0,57,20,0,119.0,0.0,28.0,2.0,0.0,
9577890,2020-03-31 08:02:39,埃及,656,0,150,41,0,47.0,0.0,18.0,1.0,0.0,
9577665,2020-03-31 17:58:53,科威特,289,0,73,0,0,23.0,0.0,1.0,0.0,0.0,
95903,2020-03-31 00:00:31,斯洛伐克,336,0,7,0,0,,,,,,
95904,2020-03-27 00:00:31,直布罗陀,3,0,0,0,0,,0.0,,,0.0,
959333,2020-03-31 07:24:22,摩纳哥,49,0,1,1,0,3.0,0.0,0.0,1.0,0.0,
9509765,2020-03-30 13:32:55,巴拉圭,64,0,1,3,0,,0.0,,,0.0,
856671,2020-03-31 00:00:31,荷属安的列斯,7,0,0,1,0,,,,,,
95711,2020-03-27 00:00:31,多米尼克,11,0,0,0,0,,0.0,,,0.0,
95703,2020-03-31 16:58:15,乌兹别克斯坦,158,0,7,2,0,9.0,0.0,0.0,0.0,0.0,
95293,2020-03-31 02:25:29,黑山,91,0,0,1,0,6.0,0.0,0.0,0.0,0.0,
95294,2020-03-31 00:00:31,危地马拉,34,0,10,1,0,,,,,,
95290,2020-03-31 07:46:42,加蓬,16,0,0,1,0,9.0,0.0,0.0,0.0,0.0,
95291,2020-03-31 17:12:37,苏丹,7,0,0,2,0,1.0,0.0,0.0,0.0,0.0,
