主演,5星,制片国家/地区,编剧,4星,类型,豆瓣评分,3星,上映日期,1星,2星,电影名称,片长
黛西·雷德利/约翰·博耶加/哈里森·福特/多姆纳尔·格里森/亚当·德赖弗/马克·哈米尔/凯丽·费雪/奥斯卡·伊萨克/露皮塔·尼永奥/安迪·瑟金斯/安东尼·丹尼尔斯/彼德·梅犹/马克斯·冯·叙多夫/比利·迪·威廉姆斯/爱德华·斯皮伊尔斯/马修·詹姆斯·托马斯/肯尼·贝克/格温多兰·克里斯蒂/西蒙·佩吉/克里斯塔·克拉克/匹普·安德森,13.90%,美国,J·J·艾布拉姆斯/劳伦斯·卡斯丹/迈克尔·阿恩特,37.60%,动作/科幻/冒险,7.1,40.00%,2016/1/9,1.90%,6.60%,星球大战7：原力觉醒 Star Wars: The Force Awakens,135分钟
邓超/白百何/杨洋/张天爱/岳云鹏/杜鹃/柳岩/廖学秋/曹卫宇/汪启楠/安韩瑾/潘肖/曹涤非/朱红/刘乐思/蓝可/梁超/张爱钦/张美娥,5.30%,中国大陆,张嘉佳,13.30%,喜剧/爱情,5.2,36.20%,2016/9/29,16.80%,28.40%,从你的全世界路过,113分钟
詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/尼古拉斯·霍尔特/奥斯卡·伊萨克/萝丝·拜恩/埃文·彼得斯/休·杰克曼/乔什·赫尔曼/苏菲·特纳/泰伊·谢里丹/卢卡斯·提尔/柯蒂·斯密特-麦菲/本·哈迪/亚历山德拉·希普/陈东兰/奥立薇娅·玛恩,23.50%,美国,布莱恩·辛格/迈克尔·道赫蒂/丹·哈里斯/西蒙·金伯格,45.30%,动作/科幻/奇幻/冒险,7.8,27.40%,2016/6/3,0.60%,3.20%,X战警：天启 X-Men: Apocalypse,144分钟
汤唯/吴秀波/惠英红/秦沛/吴彦姝/颜卓灵/王志文/陆毅/祖锋/王茜/刘志宏/张一白/艾丽娅/李灿森/陈创/韩张,10.40%,中国大陆 / 香港,薛晓路/焦华静,26.90%,喜剧/爱情,6.5,42.30%,2016/4/29,4.40%,15.90%,北京遇上西雅图之不二情书,131分钟
甄子丹/迈克·泰森/张晋/熊黛林/谭耀文/吴千语/喻亢/郑则仕/梁家仁/张继聪/陈国坤/刘以达/宗菲/曹操/王实/崔璨/刘艺菲,6.90%,中国大陆 / 香港,黄子桓/陈大利/梁礼彦,24.00%,剧情/动作/传记/历史,6.3,51.00%,2016/3/4,3.20%,14.90%,叶问3,105分钟
本尼迪克特·康伯巴奇/蒂尔达·斯文顿/麦斯·米科尔森/切瓦特·埃加福特/瑞秋·麦克亚当斯/迈克尔·斯图巴/本尼迪克特·王/本杰明·布拉特/斯科特·阿金斯/莎拉·费希恩/阿拉·萨菲,19.50%,美国,史蒂夫·迪特寇/托马斯·迪恩·唐纳利/斯坦·李/乔·斯派茨/约书亚·奥本海默,47.10%,动作/奇幻/冒险,7.6,29.60%,2016/11/4,0.50%,3.30%,奇异博士 Doctor Strange,115分钟
成龙/黄子韬/王凯/王大陆/徐帆/刘德华/张蓝心/吴永伦/桑平/房祖名/池内博之/那威/何云伟/浅野长英/矢野浩二/张艺上/高木贞佑,4.40%,中国大陆,丁晟/何可可,13.40%,喜剧/动作,5.1,38.20%,2016/12/23,20.70%,23.30%,铁道飞虎,124分钟
郭富城/梁家辉/杨采妮/彭于晏/李治廷/文咏珊/周润发/马伊琍/杨祐宁/张国柱/吴樾/周笔畅/李子雄/骆应钧/林文龙,9.90%,中国大陆 / 香港,梁乐民/陆剑青/吴炜伦,37.00%,剧情/动作/犯罪,6.9,44.20%,2016/7/8,1.40%,7.40%,寒战2 寒戰II,110分钟
肖央/闫妮/小沈阳/乔杉/艾伦/代乐乐/常远/李成敏/车晓/田雨/邓超/王迅/周晓鸥/赵英俊/岳小军/徐冬冬/杨成成/钟鹿纯/曹汉超,6.10%,中国大陆,李潇/于淼,22.90%,喜剧,6,45.30%,2016/12/30,7.70%,18.00%,情圣,116分钟
杰西·艾森伯格/马克·鲁弗洛/伍迪·哈里森/戴夫·弗兰科/丹尼尔·雷德克里夫/丽兹·卡潘/周杰伦/桑娜·莱瑟/迈克尔·凯恩/摩根·弗里曼/大卫·沃肖夫斯基/周采芹/理查德·莱恩/亨利·劳埃德-休斯,8.60%,美国,艾德·索罗门/彼得·基亚雷利/鲍兹·亚金/爱德华·里科,27.30%,动作/冒险,6.5,47.90%,2016/6/24,2.70%,13.40%,惊天魔盗团2 Now You See Me 2,130分钟
本·阿弗莱克/亨利·卡维尔/艾米·亚当斯/盖尔·加朵/杰西·艾森伯格/戴安·琳恩/劳伦斯·菲什伯恩/杰瑞米·艾恩斯/霍利·亨特/斯科特·麦克纳里/卡兰·马尔韦/冈本多绪/布兰登·斯平克/劳伦·科汉/迈克尔·珊农,12.50%,美国,克里斯·特里奥/大卫·S·高耶/鲍勃·凯恩/比尔·芬格/杰里·西格尔/乔·舒斯特,27.30%,动作/科幻/奇幻/冒险,6.6,42.90%,2016/3/25,3.80%,13.50%,蝙蝠侠大战超人：正义黎明 Batman v Superman: Dawn of Justice,151分钟
张家辉/古天乐/吴镇宇/佘诗曼/许绍雄/黄长兴/朱璇/梁琤/李光洁/张慧雯,10.30%,中国大陆 / 香港,关皓月,30.80%,剧情/动作/犯罪,6.7,44.30%,2016/8/11,2.50%,12.10%,使徒行者,109分钟
埃迪·雷德梅恩/凯瑟琳·沃特斯顿/丹·福勒/艾莉森·萨多尔/科林·法瑞尔/埃兹拉·米勒/朗·普尔曼/强·沃特/萨曼莎·莫顿/嘉玛·陈/卡门·艾乔戈/克里斯汀·马扎诺/詹·穆瑞/约翰尼·德普,25.50%,英国 / 美国,J·K·罗琳,43.90%,剧情/奇幻/冒险,7.8,26.80%,2016/11/25,0.60%,3.30%,神奇动物在哪里 Fantastic Beasts and Where to Find Them,133分钟
徐峥/王宝强/黄渤/陶虹/谢楠/范冰冰,19.70%,中国大陆,徐峥/丁丁/束焕,41.10%,喜剧,7.4,32.30%,2012/12/12,1.70%,5.20%,人再囧途之泰囧,105分钟
成龙/权相宇/廖凡/姚星彤/张蓝心/白露娜/刘承俊/吴彦祖/舒淇/李宗盛/陈柏霖/卢惠光/浅野长英/白冰/林鹏,9.00%,中国大陆 / 香港,成龙/唐季礼/邓景生/陈勋奇,30.80%,喜剧/动作/冒险,6.6,46.60%,2012/12/20,2.70%,10.90%,十二生肖,122分钟
周迅/赵薇/陈坤/冯绍峰/杨幂/费翔/陈廷嘉/鲁诺,4.70%,中国大陆 / 香港,冉平/冉甲男,18.00%,剧情/爱情/惊悚/奇幻,5.9,50.20%,2012/6/28,5.90%,21.20%,画皮2 畫皮Ⅱ,135分钟
汤姆·克鲁斯/杰瑞米·雷纳/西蒙·佩吉/宝拉·巴顿/乔什·哈洛威/迈克尔·恩奎斯特/亚尼·卡普/蕾雅·赛杜/弗拉基米尔·马什科夫/文·瑞姆斯,29.30%,美国,布鲁斯·盖勒,53.70%,动作/惊悚/犯罪/冒险,8.2,16.10%,2012/1/28,0.10%,0.80%,碟中谍4 Mission: Impossible - Ghost Protocol,133分钟
小罗伯特·唐尼/克里斯·埃文斯/斯嘉丽·约翰逊/克里斯·海姆斯沃斯/杰瑞米·雷纳/马克·鲁弗洛/塞缪尔·杰克逊/汤姆·希德勒斯顿/斯特兰·斯卡斯加德/寇碧·史莫德斯/克拉克·格雷格/保罗·贝坦尼/格温妮斯·帕特洛,28.50%,美国,乔斯·韦登/扎克·佩恩,46.20%,动作/科幻/奇幻/冒险,8,22.30%,2012/5/5,0.60%,2.30%,复仇者联盟 The Avengers,142分钟
苏拉·沙玛/拉菲·斯波/伊尔凡·可汗/热拉尔·德帕迪约/塔布/阿迪勒·侯赛因/阿尤什·坦东/王柏杰/俊·奈托,60.70%,美国 / 台湾 / 英国 / 加拿大,扬·马特尔/大卫·麦基,31.50%,剧情/奇幻/冒险,9,7.00%,2012/11/22,0.20%,0.50%,少年派的奇幻漂流 Life of Pi,127分钟
莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩/凯西·贝茨/弗兰西丝·费舍/格劳瑞亚·斯图尔特/比尔·帕克斯顿/伯纳德·希尔/大卫·沃纳/维克多·加博/乔纳森·海德/苏茜·爱米斯/刘易斯·阿伯内西/尼古拉斯·卡斯柯恩/阿那托利·萨加洛维奇/丹尼·努齐/杰森·贝瑞/伊万·斯图尔特,75.70%,美国,詹姆斯·卡梅隆,19.30%,剧情/爱情/灾难,9.4,4.30%,2012/4/10,0.30%,0.30%,泰坦尼克号 3D版 Titanic 3D,194分钟
威尔·史密斯/汤米·李·琼斯/乔什·布洛林/杰梅奈·克莱门特/艾玛·汤普森/尼可·斯彻金格/爱丽丝·伊芙/大卫·拉斯彻/比尔·哈德尔/迈克尔·斯图巴,15.40%,美国,伊坦·柯亨/劳威尔·坎宁安 ,47.60%,喜剧/动作/科幻,7.5,33.70%,2012/5/25,0.40%,3.00%,黑衣人3 Men in Black III,103分钟
阿兹·安萨里/乔·贝哈/克里斯托弗·坎贝尔/阿兰·夏巴/伊丝特尔·迪恩/彼特·丁拉基/奥布里·德雷克·葛莱汉姆/杰森·弗里基奥内/卡洛斯·沙尔丹哈/尼克·弗罗斯特/乔什·加德/约翰·雷吉扎莫/克里斯·韦奇,26.30%,美国,迈克尔·伯格 /贾森·福克斯/迈克·里斯,50.50%,喜剧/动画/冒险,8,21.60%,2012/7/27,0.20%,1.50%,冰川时代4 Ice Age: Continental Drift,88分钟
道恩·强森/乔什·哈切森/迈克尔·凯恩/凡妮莎·哈金斯/克里斯汀·戴维斯/路易斯·古兹曼,4.80%,美国,理查德·奥腾/布莱恩·戈恩/马克·戈恩,21.10%,动作/科幻/冒险,6.2,55.60%,2012/2/10,2.70%,15.90%,地心历险记2：神秘岛 Journey 2: The Mysterious Island,94分钟
张国立/张默/徐帆/李雪健/陈道明/艾德里安·布洛迪/蒂姆·罗宾斯/冯远征/张涵予/王子文/段奕宏/范伟/柯蓝/张国强/林永健/乔振宇/李倩/赵毅,20.00%,中国大陆,刘震云,41.60%,剧情/历史/战争/灾难,7.4,29.90%,2012/11/29,4.10%,4.40%,一九四二,146分钟
克里斯蒂安·贝尔/汤姆·哈迪/安妮·海瑟薇/约瑟夫·高登-莱维特/玛丽昂·歌迪亚/加里·奥德曼/迈克尔·凯恩/摩根·弗里曼/朱诺·坦普尔/乔什·平茨/丹尼尔·逊亚塔/内斯特·卡博内尔/伯恩·戈曼/连姆·尼森/乔伊·金/艾丹·吉伦/基里安·墨菲/乔什·斯图沃特/马修·莫迪恩/本·门德尔森,44.10%,美国 / 英国,大卫·S·高耶/乔纳森·诺兰/克里斯托弗·诺兰,41.20%,剧情/动作/科幻/惊悚/犯罪,8.6,13.20%,2012/8/27,0.30%,1.20%,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,165分钟
西尔维斯特·史泰龙/杰森·斯坦森/李连杰/余男/查克·诺瑞斯/尚格·云顿/布鲁斯·威利斯/阿诺·施瓦辛格/泰瑞·克鲁斯/兰迪·库卓/利亚姆·海姆斯沃斯/斯科特·阿金斯/杜夫·龙格尔/诺瓦克·德约科维奇/查瑞丝玛·卡朋特,9.80%,美国,西尔维斯特·史泰龙/理查德·温克/肯恩·考夫曼,32.40%,动作/冒险,6.8,48.40%,2012/9/4,1.40%,8.00%,敢死队2 The Expendables 2,103分钟(美国)
安德鲁·加菲尔德/艾玛·斯通/瑞斯·伊凡斯/马丁·辛/莎莉·菲尔德/C·托马斯·豪威尔/丹尼斯·利瑞/朱丽安妮·尼科尔森/坎贝尔·斯科特/安妮·帕里西/伊尔凡·可汗/迈尔斯·艾略特/汉娜·马克斯,12.20%,美国,史蒂夫·迪特寇/斯坦·李/詹姆斯·范德比尔特,42.30%,动作/科幻/冒险,7.2,39.70%,2012/8/27,0.90%,4.90%,超凡蜘蛛侠 The Amazing Spider-Man,136分钟(美国/中国大陆)
泰勒·克奇/亚历山大·斯卡斯加德/蕾哈娜/布鲁克琳·黛克/浅野忠信/哈米什·林克莱特/连姆·尼森/彼特·麦尼科/杰西·普莱蒙/杰瑞·费拉拉/亚当·戈德利,7.50%,美国,乔·霍贝尔/埃里希·霍贝尔,29.70%,动作/科幻/冒险/灾难,6.6,48.80%,2012/4/18,2.50%,11.60%,超级战舰 Battleship,132分钟
泰勒·克奇/琳恩·柯林斯/托马斯·哈登·丘奇/威廉·达福/萨曼莎·莫顿/马克·斯特朗/多米尼克·威斯特/塞伦·希德/詹姆斯·鲍弗/布莱恩·科兰斯顿/波利·沃克/达里尔·沙巴拉,6.20%,美国,迈克尔·夏邦/安德鲁·斯坦顿,23.80%,动作/科幻/奇幻/冒险,6.3,51.90%,2012/3/16,3.40%,14.70%,异星战场 John Carter,132分钟
郭富城/梁家辉/李治廷/彭于晏/杨采妮/马伊琍/林家栋/安志杰/钱嘉乐/尹子维/王敏德 /黄芝琪/郑欣宜/文峰/贾晓晨/刘德华/何华超,12.90%,香港 / 中国大陆,梁乐民/陆剑青,48.80%,剧情/动作/犯罪,7.4,34.40%,2012/11/8,0.50%,3.40%,寒战 寒戰,103分钟
梁朝伟/周迅/范晓萱/王学兵/董勇/甘婷婷/单立文,8.20%,中国大陆 / 香港,麦兆辉/庄文强/麦家,35.10%,剧情/悬疑,6.8,47.90%,2012/8/7,1.20%,7.70%,听风者,120分钟
劳米·拉佩斯/迈克尔·法斯宾德/查理兹·塞隆/伊德里斯·艾尔巴/盖·皮尔斯/罗根·马歇尔-格林/西恩·哈里斯/拉菲·斯波/埃蒙·埃利奥特/本尼迪克特·王/凯特·迪基/帕特里克·威尔森/露西·哈钦森,15.30%,美国 / 英国,达蒙·林德洛夫/乔·斯派茨,41.10%,科幻/惊悚/冒险,7.2,35.40%,2012/9/2,1.80%,6.40%,普罗米修斯 Prometheus,124分钟(美国)
杰瑞米·雷纳/蕾切尔·薇兹/爱德华·诺顿/琼·艾伦/奥斯卡·伊萨克/唐纳·墨菲/寇瑞·斯托尔/大卫·斯特雷泽恩,7.30%,美国 / 日本,托尼·吉尔罗伊/丹·吉尔罗伊,31.50%,动作/悬疑/惊悚,6.7,50.30%,2012/10/25,1.60%,9.30%,谍影重重4 The Bourne Legacy,135分钟
本·斯蒂勒/克里斯·洛克/大卫·休默/贾达·萍克·史密斯/萨莎·拜伦·科恩/弗兰西斯·麦克多蒙德/杰西卡·查斯坦,31.80%,美国,诺亚·鲍姆巴赫/埃里克·达尼尔,47.90%,喜剧/动画/冒险,8.2,18.80%,2012/6/8,0.20%,1.30%,马达加斯加3 Madagascar 3: Europe's Most Wanted,93分钟
邓超/刘亦菲/郑中基/邹兆龙/黄秋生/江一燕/吴秀波/邓萃雯/成泰燊/吴映洁/包贝尔/木幡龙/田启文/方安娜,2.70%,中国大陆 / 香港,温瑞安/陈嘉上/王思敏/谭广源,8.80%,动作/爱情/悬疑/武侠/古装,5,39.90%,2012/7/12,15.80%,32.90%,四大名捕,118分钟
