,渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
91,A477,48.73,0.0016,0.0116,1.8536,155.87,0.0024,16,jpg,banner,cpc,308*388,满减
92,A478,207.03,0.0019,0.01,1.9715,153.84,0.0024,4,jpg,banner,cpc,308*388,满减
93,A479,1.1,0.0,0.0179,1.7143,237.55,0.0,9,jpg,banner,cpc,308*388,满减
94,A480,1.89,0.0,0.0206,1.9845,199.78,0.0025,4,jpg,banner,cpc,308*388,满减
95,A481,1.94,0.0,0.0,1.3969,103.57,0.0,19,jpg,banner,cpc,308*388,满减
96,A482,0.75,0.0,0.0132,1.8158,69.0,0.0,22,jpg,banner,cpc,308*388,满减
97,A483,35.67,0.0019,0.0067,2.181,240.52,0.0027,1,jpg,banner,cpc,308*388,满减
98,A484,170.53,0.0006,0.0035,1.4886,215.68,0.0009,27,jpg,banner,cpc,308*388,满减
99,A485,0.99,0.0,0.0,2.5882,207.3,0.0072,29,jpg,banner,cpc,308*388,满减
100,A486,39.95,0.0059,0.0168,3.3213,331.23,0.0073,19,jpg,banner,cpc,308*388,满减
101,A487,3.92,0.0,0.0148,2.6576,257.91,0.0097,13,jpg,banner,cpc,308*388,满减
102,A488,178.82,0.0,0.0018,1.3158,226.92,0.0,23,jpg,banner,cpc,308*388,满减
103,A489,1.66,0.0056,0.0056,2.9333,406.77,0.0057,20,jpg,banner,cpc,308*388,满减
104,A490,0.72,0.0,0.0,1.0685,162.25,0.0,18,jpg,banner,cpc,308*388,满减
105,A491,27.05,0.003,0.01,3.0344,303.63,0.0048,11,jpg,banner,cpc,308*388,满减
106,A492,883.28,0.0,0.0017,1.3782,234.83,0.0001,26,jpg,banner,cpc,308*388,满减
107,A493,9.94,0.0039,0.0088,2.7251,276.92,0.0034,4,jpg,banner,cpc,308*388,满减
108,A494,60.51,0.0038,0.0081,2.0799,250.96,0.0076,5,jpg,banner,cpc,308*388,满减
109,A495,4.67,0.0,0.0021,1.605,160.15,0.001,9,jpg,banner,cpc,308*388,满减
110,A496,115.65,0.0021,0.0088,2.2557,161.46,0.0022,10,jpg,banner,cpc,308*388,满减
111,A497,3.66,0.0026,0.0053,2.2381,445.52,0.0065,13,jpg,banner,cpc,308*388,满减
112,A498,3.46,0.0056,0.0056,3.0084,299.03,0.0062,25,jpg,banner,cpc,308*388,满减
113,A499,0.79,0.0,0.0125,2.5875,251.05,0.003,16,jpg,banner,cpc,308*388,满减
114,A500,2.44,0.0,0.004,1.9798,331.64,0.002,15,jpg,banner,cpc,308*388,满减
115,A501,12.96,0.0015,0.003,1.9888,332.69,0.0028,28,jpg,banner,cpc,308*388,满减
116,A502,12.35,0.0,0.0,2.0088,101.04,0.0002,11,jpg,banner,cpc,308*388,满减
117,A503,0.71,0.0,0.0,1.2639,103.5,0.0,1,jpg,banner,cpc,308*388,满减
118,A504,0.73,0.0,0.0,1.5205,198.87,0.0,6,jpg,banner,cpc,308*388,满减
119,A505,0.99,0.0,0.0,1.9909999999999999,601.89,0.0024,22,jpg,banner,cpc,308*388,满减
120,A553,18.65,0.0016,0.0058,1.3014,136.01,0.0009,7,jpg,banner,cpc,308*388,满赠
121,A554,0.67,0.0,0.0282,2.5634,451.17,0.0,19,jpg,banner,cpc,308*388,满赠
122,A555,2.21,0.0,0.009000000000000001,1.6099,132.83,0.0043,20,jpg,banner,cpc,308*388,满赠
123,A556,1.27,0.0,0.0075,1.694,290.44,0.0,24,jpg,banner,cpc,308*388,满赠
124,A557,44.05,0.0042,0.0182,3.2005,297.96,0.0023,9,jpg,banner,cpc,308*388,满赠
125,A558,4.6,0.0,0.0106,1.2399,274.75,0.0,9,jpg,banner,cpc,308*388,满赠
126,A559,19.39,0.0062,0.0167,3.0434,320.77,0.0029,8,jpg,banner,cpc,308*388,满赠
127,A560,7.56,0.0013,0.0125,3.1388,324.83,0.0028,21,jpg,banner,cpc,308*388,满赠
128,A561,77.25,0.0064,0.0165,3.2928,291.31,0.0038,25,jpg,banner,cpc,308*388,满赠
129,A562,34.01,0.0054,0.0196,3.4732,349.33,0.0036,13,jpg,banner,cpc,308*388,满赠
130,A563,9.83,0.0029,0.0118,2.2784,320.62,0.0019,1,jpg,banner,cpc,308*388,满赠
131,A564,23.48,0.0099,0.0163,3.1674,305.89,0.0055,14,jpg,banner,cpc,308*388,满赠
132,A565,29.69,0.0019,0.0133,1.88,221.56,0.0014,7,jpg,banner,cpc,308*388,满赠
133,A566,30.2,0.0097,0.0184,2.7905,381.24,0.0054,21,jpg,banner,cpc,308*388,满赠
134,A567,2.9,0.0,0.0126,2.8454,375.19,0.0016,29,jpg,banner,cpc,308*388,满赠
135,A568,0.61,0.0,0.0704,2.8592,436.05,0.0,16,jpg,banner,cpc,308*388,满赠
136,A844,1827.19,0.0,0.0021,2.4351,94.47,0.0001,10,jpg,banner,cpc,308*388,秒杀
137,A845,1850.26,0.0,0.0021,2.4714,92.25,0.0001,26,jpg,banner,cpc,308*388,秒杀
138,A846,25294.77,0.0013,0.0056,2.0443,291.37,0.0019,1,jpg,banner,cpc,308*388,秒杀
139,A847,4064.1,0.0008,0.0045,3.1884,156.86,0.0013,28,jpg,banner,cpc,308*388,秒杀
140,A848,1810.84,0.0001,0.0027,2.4701,104.47,0.0003,5,jpg,banner,cpc,308*388,秒杀
141,A849,6822.28,0.0004,0.0067,2.7575,147.05,0.0009,22,jpg,banner,roi,308*388,秒杀
142,A850,12068.18,0.0031,0.0266,3.4892,273.5,0.0047,10,jpg,banner,cpc,308*388,秒杀
143,A851,8.52,0.0,0.0,2.2837,174.27,0.0,10,jpg,banner,cpc,308*388,秒杀
144,A852,1.7,0.0,0.0,1.9708,108.1,0.0,26,jpg,banner,cpc,308*388,秒杀
145,A853,16752.95,0.0013,0.0197,2.0797,327.89,0.002,1,jpg,banner,cpc,308*388,秒杀
146,A854,5.07,0.0,0.0,1.5582,101.17,0.0,15,jpg,banner,cpc,308*388,秒杀
147,A855,14.84,0.0,0.0,1.0721,185.03,0.0,12,jpg,banner,cpc,308*388,秒杀
